time,lat,lon,rain
1952-03-22,18.5,73.75,0.0
1952-03-23,18.5,73.75,0.0
1952-03-24,18.5,73.75,0.0
1952-03-25,18.5,73.75,0.0
1952-03-26,18.5,73.75,0.0
1952-03-27,18.5,73.75,0.0
1952-03-28,18.5,73.75,0.0
1952-03-29,18.5,73.75,0.0
1952-03-30,18.5,73.75,0.0
1952-03-31,18.5,73.75,0.0
1952-04-01,18.5,73.75,0.0
1952-04-02,18.5,73.75,0.0
1952-04-03,18.5,73.75,0.0
1952-04-04,18.5,73.75,0.0
1952-04-05,18.5,73.75,0.0
1952-04-06,18.5,73.75,0.0
1952-04-07,18.5,73.75,0.0
1952-04-08,18.5,73.75,0.0
1952-04-09,18.5,73.75,0.0
1952-04-10,18.5,73.75,0.0
1952-04-11,18.5,73.75,0.0
1952-04-12,18.5,73.75,0.0
1952-04-13,18.5,73.75,0.0
1952-04-14,18.5,73.75,0.0
1952-04-15,18.5,73.75,0.8415830135345459
1952-04-16,18.5,73.75,0.0
1952-04-17,18.5,73.75,0.0
1952-04-18,18.5,73.75,0.21423132717609406
1952-04-19,18.5,73.75,0.0
1952-04-20,18.5,73.75,0.0
1952-04-21,18.5,73.75,0.0
1952-04-22,18.5,73.75,0.0
1952-04-23,18.5,73.75,0.0
1952-04-24,18.5,73.75,0.0
1952-04-25,18.5,73.75,0.0
1952-04-26,18.5,73.75,0.0
1952-04-27,18.5,73.75,0.0
1952-04-28,18.5,73.75,0.0
1952-04-29,18.5,73.75,0.0
1952-04-30,18.5,73.75,0.0
1952-05-01,18.5,73.75,0.0
1952-05-02,18.5,73.75,0.0
1952-05-03,18.5,73.75,0.0
1952-05-04,18.5,73.75,0.0
1952-05-05,18.5,73.75,0.0
1952-05-06,18.5,73.75,0.0
1952-05-07,18.5,73.75,0.0
1952-05-08,18.5,73.75,0.0
1952-05-09,18.5,73.75,0.0
1952-05-10,18.5,73.75,0.0
1952-05-11,18.5,73.75,0.0
1952-05-12,18.5,73.75,0.0
1952-05-13,18.5,73.75,0.0
1952-05-14,18.5,73.75,0.0
1952-05-15,18.5,73.75,0.0
1952-05-16,18.5,73.75,0.0
1952-05-17,18.5,73.75,0.0
1952-05-18,18.5,73.75,0.0
1952-05-19,18.5,73.75,0.0
1952-05-20,18.5,73.75,0.0
1952-05-21,18.5,73.75,0.0
1952-05-22,18.5,73.75,0.8318239450454712
1952-05-23,18.5,73.75,0.0
1952-05-24,18.5,73.75,1.8632855415344238
1952-05-25,18.5,73.75,21.233787536621094
1952-05-26,18.5,73.75,0.0
1952-05-27,18.5,73.75,0.0
1952-05-28,18.5,73.75,0.0
1952-05-29,18.5,73.75,0.0
1952-05-30,18.5,73.75,0.0
1952-05-31,18.5,73.75,0.0
1952-06-01,18.5,73.75,0.0
1952-06-02,18.5,73.75,0.0
1952-06-03,18.5,73.75,0.0
1952-06-04,18.5,73.75,0.11465901881456375
1952-06-05,18.5,73.75,24.83782196044922
1952-06-06,18.5,73.75,0.30324292182922363
1952-06-07,18.5,73.75,0.0
1952-06-08,18.5,73.75,22.904525756835938
1952-06-09,18.5,73.75,55.583946228027344
1952-06-10,18.5,73.75,7.224598407745361
1952-06-11,18.5,73.75,21.480144500732422
1952-06-12,18.5,73.75,0.0
1952-06-13,18.5,73.75,4.354391574859619
1952-06-14,18.5,73.75,9.549339294433594
1952-06-15,18.5,73.75,0.0
1952-06-16,18.5,73.75,0.0
1952-06-17,18.5,73.75,0.0
1952-06-18,18.5,73.75,0.0
1952-06-19,18.5,73.75,0.0
1952-06-20,18.5,73.75,0.0
1952-06-21,18.5,73.75,1.2961866855621338
1952-06-22,18.5,73.75,0.2221219539642334
1952-06-23,18.5,73.75,6.137219429016113
1952-06-24,18.5,73.75,6.965309143066406
1952-06-25,18.5,73.75,8.4713134765625
1952-06-26,18.5,73.75,0.5322981476783752
1952-06-27,18.5,73.75,1.0878424644470215
1952-06-28,18.5,73.75,0.0
1952-06-29,18.5,73.75,0.35448354482650757
1952-06-30,18.5,73.75,0.6743196249008179
1952-07-01,18.5,73.75,0.0
1952-07-02,18.5,73.75,0.3275355100631714
1952-07-03,18.5,73.75,0.3467841148376465
1952-07-04,18.5,73.75,0.0
1952-07-05,18.5,73.75,0.0
1952-07-06,18.5,73.75,0.0
1952-07-07,18.5,73.75,0.0
1952-07-08,18.5,73.75,1.1150602102279663
1952-07-09,18.5,73.75,0.6829814314842224
1952-07-10,18.5,73.75,0.0
1952-07-11,18.5,73.75,0.0
1952-07-12,18.5,73.75,0.0
1952-07-13,18.5,73.75,0.0
1952-07-14,18.5,73.75,28.646121978759766
1952-07-15,18.5,73.75,1.8552800416946411
1952-07-16,18.5,73.75,2.458366870880127
1952-07-17,18.5,73.75,6.578843116760254
1952-07-18,18.5,73.75,11.911291122436523
1952-07-19,18.5,73.75,8.045347213745117
1952-07-20,18.5,73.75,24.206470489501953
1952-07-21,18.5,73.75,8.04177188873291
1952-07-22,18.5,73.75,12.027731895446777
1952-07-23,18.5,73.75,2.224865436553955
1952-07-24,18.5,73.75,9.161643028259277
1952-07-25,18.5,73.75,33.97773742675781
1952-07-26,18.5,73.75,15.259905815124512
1952-07-27,18.5,73.75,6.812771320343018
1952-07-28,18.5,73.75,0.8915549516677856
1952-07-29,18.5,73.75,2.5151777267456055
1952-07-30,18.5,73.75,2.56622576713562
1952-07-31,18.5,73.75,5.494475841522217
1952-08-01,18.5,73.75,9.328083992004395
1952-08-02,18.5,73.75,13.767569541931152
1952-08-03,18.5,73.75,1.4709758758544922
1952-08-04,18.5,73.75,11.951064109802246
1952-08-05,18.5,73.75,4.868980884552002
1952-08-06,18.5,73.75,6.076372146606445
1952-08-07,18.5,73.75,1.9839261770248413
1952-08-08,18.5,73.75,7.324313640594482
1952-08-09,18.5,73.75,1.2617828845977783
1952-08-10,18.5,73.75,1.7033416032791138
1952-08-11,18.5,73.75,4.508285045623779
1952-08-12,18.5,73.75,1.0965043306350708
1952-08-13,18.5,73.75,6.09575080871582
1952-08-14,18.5,73.75,3.5919954776763916
1952-08-15,18.5,73.75,1.1806321144104004
1952-08-16,18.5,73.75,0.8405911326408386
1952-08-17,18.5,73.75,3.9285659790039062
1952-08-18,18.5,73.75,0.4053422212600708
1952-08-19,18.5,73.75,3.644353151321411
1952-08-20,18.5,73.75,4.286562919616699
1952-08-21,18.5,73.75,5.512790679931641
1952-08-22,18.5,73.75,0.5035246014595032
1952-08-23,18.5,73.75,1.8538262844085693
1952-08-24,18.5,73.75,0.0
1952-08-25,18.5,73.75,0.0
1952-08-26,18.5,73.75,0.27243945002555847
1952-08-27,18.5,73.75,0.3752017319202423
1952-08-28,18.5,73.75,0.5265591144561768
1952-08-29,18.5,73.75,1.1722387075424194
1952-08-30,18.5,73.75,0.6728759407997131
1952-08-31,18.5,73.75,0.19565510749816895
1952-09-01,18.5,73.75,0.0
1952-09-02,18.5,73.75,0.0
1952-09-03,18.5,73.75,0.20383578538894653
1952-09-04,18.5,73.75,0.0
1952-09-05,18.5,73.75,0.0
1952-09-06,18.5,73.75,0.0
1952-09-07,18.5,73.75,0.0
1952-09-08,18.5,73.75,0.0
1952-09-09,18.5,73.75,0.0
1952-09-10,18.5,73.75,0.0
1952-09-11,18.5,73.75,0.0
1952-09-12,18.5,73.75,0.0
1952-09-13,18.5,73.75,0.0
1952-09-14,18.5,73.75,0.0
1952-09-15,18.5,73.75,0.0
1952-09-16,18.5,73.75,0.0
1952-09-17,18.5,73.75,0.0
1952-09-18,18.5,73.75,0.0
1952-09-19,18.5,73.75,6.062197685241699
1952-09-20,18.5,73.75,1.8856122493743896
1952-09-21,18.5,73.75,0.0
1952-09-22,18.5,73.75,0.0
1952-09-23,18.5,73.75,0.6473715305328369
1952-09-24,18.5,73.75,0.19421148300170898
1952-09-25,18.5,73.75,0.0
1952-09-26,18.5,73.75,0.0
1952-09-27,18.5,73.75,0.1689711958169937
1952-09-28,18.5,73.75,0.8574631214141846
1952-09-29,18.5,73.75,0.0
1952-09-30,18.5,73.75,14.156917572021484
1952-10-01,18.5,73.75,0.986937403678894
1952-10-02,18.5,73.75,1.5416239500045776
1952-10-03,18.5,73.75,4.772836208343506
1952-10-04,18.5,73.75,0.0
1952-10-05,18.5,73.75,0.11741647124290466
1952-10-06,18.5,73.75,10.376106262207031
1952-10-07,18.5,73.75,6.882463455200195
1952-10-08,18.5,73.75,0.47503188252449036
1952-10-09,18.5,73.75,4.823434352874756
1952-10-10,18.5,73.75,0.0
1952-10-11,18.5,73.75,5.656402111053467
1952-10-12,18.5,73.75,0.0
1952-10-13,18.5,73.75,0.0
1952-10-14,18.5,73.75,0.0
1952-10-15,18.5,73.75,0.0
1952-10-16,18.5,73.75,2.961130380630493
1952-10-17,18.5,73.75,12.688483238220215
1952-10-18,18.5,73.75,5.823899745941162
1952-10-19,18.5,73.75,0.0
1952-10-20,18.5,73.75,0.0
1952-10-21,18.5,73.75,0.0
1952-10-22,18.5,73.75,0.0
1952-10-23,18.5,73.75,0.0
1952-10-24,18.5,73.75,0.0
1952-10-25,18.5,73.75,0.0
1952-10-26,18.5,73.75,0.0
1952-10-27,18.5,73.75,0.0
1952-10-28,18.5,73.75,0.0
1952-10-29,18.5,73.75,0.0
1952-10-30,18.5,73.75,0.0
1952-10-31,18.5,73.75,0.0
1952-11-01,18.5,73.75,0.0
1952-11-02,18.5,73.75,0.0
1952-11-03,18.5,73.75,0.0
1952-11-04,18.5,73.75,0.0
1952-11-05,18.5,73.75,0.0
1952-11-06,18.5,73.75,0.0
1952-11-07,18.5,73.75,0.0
1952-11-08,18.5,73.75,0.0
1952-11-09,18.5,73.75,0.0
1952-11-10,18.5,73.75,0.0
1952-11-11,18.5,73.75,0.0
1952-11-12,18.5,73.75,0.0
1952-11-13,18.5,73.75,0.0
1952-11-14,18.5,73.75,0.0
1952-11-15,18.5,73.75,0.0
1952-11-16,18.5,73.75,0.0
1952-11-17,18.5,73.75,0.0
1952-11-18,18.5,73.75,0.0
1952-11-19,18.5,73.75,0.0
