time,lat,lon,tmax,tmin
1959-09-10,18.5,73.5,27.030000686645508,22.639999389648438
1959-09-11,18.5,73.5,27.0,21.809999465942383
1959-09-12,18.5,73.5,27.309999465942383,21.739999771118164
1959-09-13,18.5,73.5,27.0,22.149999618530273
1959-09-14,18.5,73.5,27.100000381469727,22.15999984741211
1959-09-15,18.5,73.5,25.200000762939453,21.739999771118164
1959-09-16,18.5,73.5,26.989999771118164,19.93000030517578
1959-09-17,18.5,73.5,28.860000610351562,20.90999984741211
1959-09-18,18.5,73.5,29.469999313354492,20.93000030517578
1959-09-19,18.5,73.5,30.170000076293945,21.270000457763672
1959-09-20,18.5,73.5,30.329999923706055,20.84000015258789
1959-09-21,18.5,73.5,29.84000015258789,21.399999618530273
1959-09-22,18.5,73.5,29.360000610351562,21.989999771118164
1959-09-23,18.5,73.5,30.459999084472656,21.889999389648438
1959-09-24,18.5,73.5,31.399999618530273,22.06999969482422
1959-09-25,18.5,73.5,30.530000686645508,21.479999542236328
1959-09-26,18.5,73.5,29.81999969482422,22.270000457763672
1959-09-27,18.5,73.5,29.829999923706055,21.790000915527344
1959-09-28,18.5,73.5,29.200000762939453,21.690000534057617
1959-09-29,18.5,73.5,28.420000076293945,21.84000015258789
1959-09-30,18.5,73.5,28.09000015258789,21.420000076293945
1959-10-01,18.5,73.5,28.170000076293945,21.540000915527344
1959-10-02,18.5,73.5,27.420000076293945,21.190000534057617
1959-10-03,18.5,73.5,28.200000762939453,21.1299991607666
1959-10-04,18.5,73.5,28.989999771118164,21.1299991607666
1959-10-05,18.5,73.5,27.700000762939453,20.899999618530273
1959-10-06,18.5,73.5,28.739999771118164,20.3799991607666
1959-10-07,18.5,73.5,29.270000457763672,20.420000076293945
1959-10-08,18.5,73.5,29.59000015258789,21.40999984741211
1959-10-09,18.5,73.5,27.549999237060547,21.540000915527344
1959-10-10,18.5,73.5,27.260000228881836,21.459999084472656
1959-10-11,18.5,73.5,27.540000915527344,20.81999969482422
1959-10-12,18.5,73.5,26.5,20.280000686645508
1959-10-13,18.5,73.5,27.600000381469727,20.25
1959-10-14,18.5,73.5,28.0,19.90999984741211
1959-10-15,18.5,73.5,28.84000015258789,19.8700008392334
1959-10-16,18.5,73.5,29.110000610351562,18.829999923706055
1959-10-17,18.5,73.5,31.540000915527344,19.530000686645508
1959-10-18,18.5,73.5,31.110000610351562,21.799999237060547
1959-10-19,18.5,73.5,30.799999237060547,21.520000457763672
1959-10-20,18.5,73.5,32.099998474121094,21.940000534057617
1959-10-21,18.5,73.5,32.810001373291016,21.540000915527344
1959-10-22,18.5,73.5,31.940000534057617,21.979999542236328
1959-10-23,18.5,73.5,30.889999389648438,22.329999923706055
1959-10-24,18.5,73.5,32.20000076293945,22.139999389648438
1959-10-25,18.5,73.5,32.22999954223633,19.75
1959-10-26,18.5,73.5,31.360000610351562,18.81999969482422
1959-10-27,18.5,73.5,31.65999984741211,18.68000030517578
1959-10-28,18.5,73.5,32.38999938964844,18.75
1959-10-29,18.5,73.5,31.360000610351562,18.829999923706055
1959-10-30,18.5,73.5,31.350000381469727,18.530000686645508
1959-10-31,18.5,73.5,31.709999084472656,18.6200008392334
1959-11-01,18.5,73.5,32.16999816894531,22.25
1959-11-02,18.5,73.5,29.780000686645508,22.110000610351562
1959-11-03,18.5,73.5,28.579999923706055,21.969999313354492
1959-11-04,18.5,73.5,28.989999771118164,21.479999542236328
1959-11-05,18.5,73.5,31.600000381469727,20.93000030517578
1959-11-06,18.5,73.5,31.399999618530273,20.510000228881836
1959-11-07,18.5,73.5,30.770000457763672,20.530000686645508
